run_id,jour_local,fenetre,mf_wmo,cc_avg,cc_max,cc_low_avg,cc_mid_avg,precip_sum,temp_c_avg,visi_m_min,humi_avg,cc_hours,cc_low_hours,cc_mid_hours,precip_hours,temp_c_hours,wmo_hours,source
29938315248,2026-07-22,Soir,0,34.5,99.0,0.0,0.0,0.0,22.23,19999.79,0.55,"[0.0, 1.5, 95.5, 7.0, 4.0, 99.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[22.9, 22.6, 22.3, 23.3, 22.0, 20.3]","[0, 0, 0, 0, 0, 0]",hora_diag
29938315248,2026-07-23,Après-midi,1,33.0,100.0,4.67,0.0,0.0,24.78,19999.82,0.47,"[100.0, 83.5, 5.0, 0.0, 0.0, 9.5]","[0.0, 23.5, 4.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[23.5, null, 25.9, 25.4, 25.0, 24.1]","[0, 2, 0, 0, 0, 0]",hora_diag
29938315248,2026-07-23,Matin,1,98.6,100.0,0.0,0.0,0.0,16.8,19999.74,0.75,"[93.0, 100.0, 100.0, null, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14.0, 13.5, 14.7, 16.8, 19.5, 22.3]","[0, 0, 0, null, 0, 0]",hora_diag
29938315248,2026-07-23,Nuit,0,33.42,100.0,0.0,0.0,0.0,15.78,19999.81,0.75,"[100.0, 1.5, 99.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[null, 17.0, 16.2, 15.7, 15.3, 14.7]","[0, 0, 0, 0, 0, 0]",hora_diag
29938315248,2026-07-23,Soir,0,67.5,100.0,0.0,0.0,0.0,23.17,20000.01,0.52,"[75.0, 100.0, 99.5, 20.5, 42.5, 67.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[24.1, 23.4, 23.2, 24.2, 22.8, 21.3]","[0, 0, 0, 0, 0, 0]",hora_diag
30165777093,2026-07-25,Soir,0,4.58,20.5,0.0,0.0,0.0,19.82,20000.0,0.7,"[20.5, 0.0, 7.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, null, null, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[22.2, 21.1, 20.4, 19.3, 18.3, 17.6]","[0, 0, 0, 0, 0, 0]",hora_diag
30165777093,2026-07-26,Après-midi,80,91.62,100.0,93.3,0.0,0.07,21.2,19999.82,0.72,"[null, null, 100.0, 100.0, 91.5, 75.0]","[100.0, 100.0, null, 100.0, 91.5, 75.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.14, 0.16, 0.15, 0.0, 0.0]","[20.7, 20.6, 20.6, 20.5, 22.4, 22.4]","[null, null, 61, 61, 3, 2]",hora_diag
30165777093,2026-07-26,Matin,3,100.0,100.0,100.0,0.6,0.01,18.32,19999.79,0.81,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, null, 100.0]","[3.0, null, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.06, 0.0]","[17.8, 17.8, 17.8, 18.2, 18.7, 19.6]","[3, 3, 3, 3, 3, 3]",hora_diag
30165777093,2026-07-26,Nuit,1,77.4,100.0,77.4,0.0,0.0,17.72,19999.75,0.85,"[3.0, 84.0, 100.0, 100.0, 100.0, null]","[3.0, 84.0, 100.0, 100.0, 100.0, null]","[0.0, 0.0, 0.0, 0.0, 0.0, null]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[17.4, 17.4, 17.8, 17.9, 17.9, 17.9]","[0, 2, 3, 3, 3, null]",hora_diag
30165777093,2026-07-26,Soir,0,22.58,70.5,22.58,0.0,0.0,19.98,19999.71,0.65,"[70.5, 13.0, 32.0, 0.0, 11.0, 9.0]","[70.5, 13.0, 32.0, 0.0, 11.0, 9.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[22.1, 21.3, 20.5, 19.5, 18.4, 18.1]","[2, 1, 1, 0, 0, 0]",hora_diag
