run_id,jour_local,fenetre,mf_wmo,note
27929695769,2026-06-22,Matin,0,ensoleillé — codes [0-0-0-0-0-0]
27929695769,2026-06-22,Après-midi,95,orage Vigilance
27929695769,2026-06-22,Soir,95,orage Vigilance
27929695769,2026-06-23,Matin,1,peu nuageux
27929695769,2026-06-23,Après-midi,0,ensoleillé
27968033409,2026-06-23,Matin,1,peu nuageux
27968033409,2026-06-23,Après-midi,95,orage Vigilance
28002293154,2026-06-23,Matin,0,ensoleillé (79 % cirrus bas=0 moy=0)
28040922208,2026-06-23,Soir,0,ensoleillé/dégagé — codes [0-0-0-0-0-0]
28040922208,2026-06-24,Nuit,0,dégagé — codes [0-0-0-0-0-0]
28040922208,2026-06-24,Matin,0,ensoleillé (50 % cirrus bas=0 moy=0)
28040922208,2026-06-24,Après-midi,0,ensoleillé (30 % cirrus bas=0 moy=0)
28040922208,2026-06-24,Soir,1,peu nuageux/voilé — codes [0-0-1-1-1-3]
28075254493,2026-06-24,Matin,0,ensoleillé (57 % cirrus bas=0 moy=0)
28075254493,2026-06-24,Après-midi,0,ensoleillé — codes [0-0-0-0-0-0]
28075254493,2026-06-24,Soir,0,dégagé — codes [0-0-0-0-0-0]
28075254493,2026-06-25,Nuit,0,dégagé (80 % cirrus bas=0 moy=0)
28075254493,2026-06-25,Matin,1,peu nuageux (78 % cirrus bas=0 moy=0)
28075254493,2026-06-25,Après-midi,95,orage Vigilance
28075254493,2026-06-25,Soir,95,orage Vigilance
28113733569,2026-06-24,Soir,0,dégagé (50 % cirrus bas=0 moy=0)
28113733569,2026-06-25,Nuit,0,dégagé (95 % cirrus bas=0 moy=0)
28113733569,2026-06-25,Matin,1,peu nuageux (99 % tot moy=43 % — écart modèle possible)
28113733569,2026-06-25,Après-midi,95,orage Vigilance
28113733569,2026-06-25,Soir,95,orage Vigilance
28185156263,2026-06-25,Soir,95,"auto (ws MF, n=2)"
28185156263,2026-06-26,Après-midi,0,"auto (ws MF, n=6)"
28185156263,2026-06-26,Matin,0,"auto (ws MF, n=6)"
28185156263,2026-06-26,Nuit,95,"auto (ws MF, n=6)"
28185156263,2026-06-26,Soir,0,"auto (ws MF, n=6)"
28185156263,2026-06-27,Après-midi,95,"auto (ws MF, n=2)"
28185156263,2026-06-27,Matin,95,"auto (ws MF, n=2)"
28185156263,2026-06-27,Nuit,0,"auto (ws MF, n=4)"
28185156263,2026-06-27,Soir,95,"auto (ws MF, n=1)"
28217227424,2026-06-26,Après-midi,0,"auto (ws MF, n=6)"
28217227424,2026-06-26,Matin,61,"auto (ws MF, n=4)"
28217227424,2026-06-26,Soir,0,"auto (ws MF, n=6)"
28217227424,2026-06-27,Après-midi,95,"auto (ws MF, n=6)"
28217227424,2026-06-27,Matin,95,"auto (ws MF, n=6)"
28217227424,2026-06-27,Nuit,95,"auto (ws MF, n=6)"
28217227424,2026-06-27,Soir,80,"auto (ws MF, n=6)"
28217227424,2026-06-28,Nuit,0,"auto (ws MF, n=4)"
28251352210,2026-06-26,Soir,0,"auto (ws MF, n=4)"
28251352210,2026-06-27,Après-midi,95,"auto (ws MF, n=6)"
28251352210,2026-06-27,Matin,95,"auto (ws MF, n=6)"
28251352210,2026-06-27,Nuit,95,"auto (ws MF, n=6)"
28251352210,2026-06-27,Soir,95,"auto (ws MF, n=6)"
28251352210,2026-06-28,Après-midi,2,"auto (ws MF, n=2)"
28251352210,2026-06-28,Matin,1,"auto (ws MF, n=2)"
28251352210,2026-06-28,Nuit,0,"auto (ws MF, n=4)"
28278635958,2026-06-27,Après-midi,95,"auto (ws MF, n=6)"
28278635958,2026-06-27,Matin,95,"auto (ws MF, n=4)"
28278635958,2026-06-27,Soir,95,"auto (ws MF, n=6)"
28278635958,2026-06-28,Après-midi,3,"auto (ws MF, n=6)"
28278635958,2026-06-28,Matin,1,"auto (ws MF, n=6)"
28278635958,2026-06-28,Nuit,0,"auto (ws MF, n=6)"
28278635958,2026-06-28,Soir,1,"auto (ws MF, n=6)"
28278635958,2026-06-29,Nuit,0,"auto (ws MF, n=4)"
