day_of_year,t_min_celsius,t_max_celsius,t_moy_celsius,hr_moy_pct
1,2.37,7.57,5.06,89.06
2,2.13,7.81,5.11,87.03
3,2.07,7.79,4.95,87.9
4,2.72,7.83,5.3,87.48
5,2.89,8.07,5.4,89.63
6,2.72,8.05,5.35,91.07
7,2.98,7.89,5.31,88.67
8,3.53,8.25,6.07,89.88
9,3.64,8.46,6.12,89.62
10,3.32,8.38,5.96,90.72
11,3.46,8.17,5.98,90.76
12,3.29,8.74,6.0,89.67
13,3.49,8.93,6.22,88.27
14,3.02,7.81,5.27,87.95
15,2.84,8.26,5.66,88.65
16,2.68,8.2,5.44,90.19
17,3.16,8.09,5.54,89.99
18,2.41,7.62,5.07,89.42
19,3.15,8.26,5.59,90.16
20,2.8,7.99,5.26,89.19
21,2.4,7.71,4.97,90.93
22,3.33,8.23,5.67,89.78
23,2.49,8.04,5.1,88.38
24,2.08,8.07,4.95,89.44
25,1.48,7.57,4.46,89.43
26,1.48,7.23,4.18,87.15
27,1.6,7.4,4.28,86.16
28,2.18,7.57,4.77,86.94
29,2.42,7.49,4.68,87.7
30,1.51,7.82,4.54,88.01
31,1.64,7.8,4.45,88.48
32,2.42,7.94,4.98,87.93
33,2.06,7.91,4.67,87.45
34,1.64,7.8,4.68,87.14
35,2.77,8.22,5.38,87.27
36,2.98,8.66,5.6,88.21
37,2.73,8.16,5.37,87.6
38,2.16,8.43,5.01,86.22
39,2.44,8.83,5.49,86.69
40,2.12,8.32,5.06,87.16
41,1.75,8.76,5.05,86.37
42,2.37,9.04,5.35,87.91
43,2.26,9.29,5.59,87.4
44,2.38,8.76,5.31,86.2
45,1.56,9.14,4.92,86.38
46,2.32,9.43,5.59,86.8
47,1.96,8.88,5.13,87.23
48,1.75,9.21,5.2,85.99
49,2.29,9.01,5.38,87.55
50,2.08,9.0,5.46,86.8
51,3.07,9.47,6.04,87.48
52,2.28,8.59,5.36,86.01
53,2.79,9.31,5.87,85.9
54,3.64,9.72,6.49,86.12
55,3.85,10.13,6.69,85.76
56,3.11,9.68,6.32,85.0
57,3.11,9.57,6.18,83.71
58,2.57,9.02,5.67,84.23
59,2.49,9.15,5.6,83.46
60,2.74,9.51,5.81,84.35
61,2.66,9.57,5.97,84.96
62,2.95,9.66,6.02,83.87
63,2.63,9.77,5.94,84.45
64,2.51,9.8,5.96,84.76
65,3.29,10.14,6.44,84.43
66,3.19,10.77,6.72,84.57
67,3.68,11.38,7.27,83.89
68,3.97,11.69,7.49,83.09
69,3.9,11.81,7.6,83.22
70,4.49,12.22,8.02,84.33
71,4.05,10.98,7.34,84.58
72,3.7,11.26,7.19,84.07
73,3.47,11.48,7.18,83.01
74,4.35,12.34,7.96,84.79
75,4.36,12.53,7.99,84.08
76,4.66,12.42,8.16,82.78
77,4.31,12.43,7.99,83.59
78,4.22,12.11,7.85,81.99
79,4.24,12.6,8.05,81.72
80,4.1,11.82,7.81,82.12
81,3.88,11.94,7.81,80.21
82,4.54,12.59,8.4,81.59
83,4.78,12.6,8.41,81.9
84,4.71,12.63,8.53,80.66
85,4.47,12.57,8.34,80.13
86,4.54,12.56,8.29,81.09
87,4.06,12.28,7.99,80.78
88,4.66,12.76,8.47,80.4
89,4.75,13.28,8.77,78.56
90,4.79,13.01,8.7,78.45
91,4.74,13.48,8.83,79.98
92,5.33,13.6,9.09,78.92
93,4.86,12.16,8.36,82.04
94,4.45,12.12,8.24,82.55
95,3.89,12.7,8.14,79.83
96,4.51,14.08,9.01,78.12
97,4.67,13.0,8.62,77.32
98,4.41,13.33,8.7,77.58
99,4.43,14.27,9.15,77.8
100,5.1,13.9,9.26,78.65
101,4.19,13.68,8.91,77.82
102,4.62,13.62,8.91,78.67
103,4.73,13.8,9.04,78.7
104,4.93,13.81,9.2,78.54
105,5.18,13.34,9.12,80.41
106,5.07,14.09,9.53,76.7
107,5.1,14.93,9.9,74.49
108,5.43,14.47,9.94,73.39
109,5.07,14.01,9.38,76.65
110,5.12,14.95,9.85,76.81
111,5.81,16.25,10.82,73.79
112,7.02,16.59,11.36,76.72
113,6.84,15.67,11.1,80.47
114,6.78,15.91,11.2,79.42
115,6.91,14.95,10.65,83.29
116,7.38,15.13,10.86,83.29
117,6.87,15.0,10.83,79.19
118,7.16,15.51,11.08,80.1
119,7.31,15.02,11.04,81.57
120,7.31,14.77,10.85,83.15
121,7.59,15.08,11.1,81.36
122,7.58,15.77,11.44,80.79
123,6.98,15.76,11.27,78.77
124,6.87,16.0,11.37,77.51
125,7.1,16.53,11.83,75.57
126,7.67,16.13,11.9,77.88
127,8.09,16.16,12.09,78.39
128,7.86,15.94,11.98,81.48
129,8.47,16.35,12.22,76.97
130,8.54,17.16,12.76,79.42
131,9.18,16.77,12.77,82.16
132,8.6,16.12,12.17,80.17
133,7.58,16.07,11.85,78.25
134,7.32,16.38,12.04,78.44
135,7.53,17.19,12.35,76.47
136,8.55,17.29,12.88,77.58
137,8.61,17.37,12.95,78.08
138,8.1,17.08,12.49,77.62
139,8.83,16.68,12.64,79.54
140,8.36,16.65,12.45,79.95
141,8.3,17.91,13.17,80.47
142,9.35,17.96,13.68,77.09
143,9.27,18.42,13.78,76.4
144,9.86,18.3,14.05,78.09
145,9.68,18.88,14.4,79.22
146,9.83,18.92,14.49,76.98
147,10.21,19.64,14.83,76.19
148,9.91,18.78,14.22,78.46
149,10.06,18.69,14.32,78.72
150,10.41,18.97,14.62,78.64
151,10.25,19.32,14.74,76.91
152,10.42,19.4,14.98,77.07
153,10.95,19.78,15.26,77.58
154,10.69,19.25,14.9,76.28
155,10.22,19.36,14.72,76.9
156,10.15,18.18,14.21,78.68
157,10.69,19.06,14.75,79.47
158,10.54,19.55,14.97,77.97
159,10.76,19.86,15.38,75.7
160,10.86,19.62,15.2,77.19
161,10.92,19.65,15.32,78.21
162,11.16,18.72,14.88,80.04
163,10.82,18.52,14.69,79.8
164,10.54,19.03,14.72,80.43
165,10.73,19.63,14.94,81.25
166,11.17,19.2,15.08,79.13
167,11.1,20.1,15.47,78.59
168,11.21,20.44,15.89,78.12
169,12.01,20.74,16.22,76.84
170,11.97,20.6,16.16,76.81
171,12.27,20.66,16.26,76.42
172,11.78,20.09,15.88,77.62
173,11.45,20.49,15.96,75.74
174,11.35,21.47,16.32,73.01
175,11.38,21.47,16.58,73.24
176,12.11,21.57,16.78,76.81
177,12.53,21.77,17.18,75.72
178,12.85,21.39,17.1,77.87
179,12.89,22.13,17.5,76.66
180,13.02,22.19,17.42,75.3
181,13.01,21.38,16.95,77.36
182,13.28,21.89,17.45,79.6
183,13.0,21.9,17.18,78.64
184,12.97,20.92,16.84,78.88
185,12.82,21.57,16.91,78.47
186,12.94,20.87,16.68,81.5
187,12.6,20.15,16.19,79.75
188,12.23,20.41,16.13,79.41
189,12.42,21.45,16.81,76.52
190,12.33,21.69,16.89,76.9
191,12.6,22.74,17.5,75.54
192,13.0,21.0,16.89,77.57
193,12.94,20.9,16.67,80.59
194,12.74,21.2,16.92,78.41
195,12.79,21.21,16.96,77.15
196,12.91,22.33,17.36,76.88
197,13.41,22.29,17.57,79.73
198,13.3,22.34,17.67,77.94
199,13.71,22.91,18.12,75.99
200,13.9,23.05,18.36,74.96
201,14.29,22.82,18.26,76.25
202,13.82,22.62,18.07,76.58
203,13.02,22.06,17.57,76.1
204,13.34,23.21,18.07,75.18
205,13.47,23.23,18.17,75.56
206,14.05,23.21,18.3,76.05
207,14.25,23.01,18.35,79.09
208,14.46,22.24,18.04,81.07
209,14.22,22.39,18.14,77.96
210,13.63,23.3,18.24,77.41
211,13.92,21.98,17.71,77.19
212,13.37,22.32,17.63,75.84
213,13.43,23.15,18.05,75.85
214,13.79,23.15,18.06,78.02
215,14.23,23.47,18.59,76.37
216,14.48,22.76,18.43,79.06
217,13.99,22.64,18.14,77.81
218,13.49,22.49,17.67,79.26
219,13.54,22.28,17.7,79.92
220,13.46,23.07,18.04,77.36
221,13.67,22.46,17.9,78.13
222,13.76,22.33,17.91,76.15
223,13.75,22.15,17.63,79.21
224,13.88,21.94,17.58,80.34
225,13.61,21.07,17.19,81.17
226,13.47,21.88,17.4,80.86
227,13.16,21.62,17.26,81.02
228,12.72,22.21,17.23,78.34
229,13.42,21.78,17.42,80.09
230,13.45,22.47,17.66,77.68
231,13.32,21.93,17.47,77.65
232,13.29,22.14,17.45,78.38
233,13.22,22.97,17.77,77.45
234,13.58,22.6,17.68,77.96
235,13.2,22.37,17.45,77.6
236,13.08,22.02,17.3,75.71
237,13.43,21.44,17.06,81.3
238,13.83,21.71,17.42,81.84
239,13.51,21.02,17.05,80.93
240,12.49,21.44,16.79,76.63
241,11.97,20.56,16.08,78.83
242,11.75,20.67,16.06,77.94
243,12.0,21.28,16.49,75.81
244,11.76,20.3,15.81,76.25
245,11.21,20.85,15.75,78.38
246,11.76,21.16,16.22,79.24
247,12.2,21.48,16.57,78.24
248,12.18,20.62,16.16,76.49
249,11.78,20.95,16.14,77.72
250,12.14,20.77,16.11,78.6
251,11.9,21.14,16.15,77.95
252,12.26,21.02,16.21,76.73
253,12.03,21.51,16.43,76.6
254,12.31,21.06,16.23,79.5
255,11.93,19.9,15.69,81.24
256,11.07,19.44,15.03,79.63
257,10.57,19.28,14.81,77.88
258,10.63,19.74,14.96,79.05
259,10.82,19.52,14.88,78.38
260,10.44,19.4,14.66,77.44
261,10.73,19.8,14.93,75.93
262,11.21,19.83,15.09,78.47
263,10.87,19.72,14.94,79.59
264,10.33,20.15,14.79,78.19
265,10.19,19.31,14.24,79.45
266,10.02,19.22,14.27,81.98
267,10.44,18.9,14.43,80.65
268,9.65,17.96,13.55,81.19
269,9.61,18.28,13.66,82.24
270,10.48,18.94,14.3,80.56
271,10.83,18.3,14.35,80.95
272,10.25,18.79,14.13,81.35
273,10.33,18.27,13.96,82.42
274,11.36,17.95,14.27,84.92
275,10.52,17.67,13.89,84.52
276,9.88,17.06,13.34,83.68
277,9.23,16.66,12.76,82.85
278,9.19,16.91,12.79,81.66
279,9.54,16.79,13.02,81.75
280,9.12,16.07,12.33,81.3
281,9.66,16.27,12.78,84.6
282,10.12,17.1,13.28,85.23
283,9.94,17.17,13.32,85.11
284,9.79,17.26,13.15,85.14
285,9.39,16.99,12.95,82.19
286,9.32,16.63,12.63,83.21
287,8.99,16.43,12.44,85.67
288,8.23,15.54,11.84,84.52
289,8.17,15.51,11.75,86.11
290,7.86,14.94,11.29,82.65
291,7.55,14.99,10.92,82.11
292,7.32,14.49,10.61,82.47
293,7.51,14.28,10.61,83.47
294,7.69,14.72,10.96,85.02
295,8.0,14.11,11.04,86.56
296,7.46,14.93,11.08,84.86
297,8.51,15.08,11.45,85.02
298,8.36,14.72,11.24,84.45
299,7.85,15.02,11.25,84.57
300,7.7,14.17,10.84,84.21
301,6.99,13.94,10.28,85.81
302,7.54,13.71,10.45,84.54
303,7.55,14.2,10.61,83.08
304,7.4,14.17,10.28,84.93
305,6.39,14.05,10.0,83.86
306,6.48,13.61,9.95,86.46
307,7.1,13.9,10.43,85.62
308,6.3,12.74,9.36,87.3
309,5.82,12.51,9.04,87.42
310,6.09,12.62,9.19,86.07
311,6.02,12.22,9.14,86.07
312,6.82,12.49,9.56,88.06
313,6.5,11.84,9.09,87.6
314,6.52,11.92,9.15,87.02
315,6.7,12.13,9.45,88.93
316,6.29,12.14,9.11,88.45
317,5.87,11.48,8.61,88.25
318,5.75,11.62,8.77,85.17
319,5.32,11.28,8.0,87.63
320,4.54,10.75,7.58,87.87
321,4.5,9.97,6.96,88.65
322,4.38,10.25,6.99,88.73
323,4.06,9.96,6.9,87.27
324,4.03,9.93,6.87,86.56
325,4.47,9.4,6.72,86.8
326,4.61,9.71,7.2,89.93
327,4.39,9.75,7.09,88.12
328,4.38,9.66,7.06,91.16
329,5.22,9.9,7.57,89.55
330,4.81,9.86,7.28,89.93
331,4.42,9.95,7.16,90.51
332,4.74,9.67,7.26,90.86
333,4.94,9.89,7.22,88.46
334,4.12,9.37,6.68,88.9
335,3.61,9.15,6.56,89.93
336,4.24,9.34,6.74,89.18
337,4.07,9.07,6.52,88.52
338,4.08,9.17,6.79,89.39
339,3.04,8.53,5.7,88.26
340,2.83,8.52,5.64,88.32
341,2.66,8.68,5.7,87.9
342,3.29,8.95,5.96,88.61
343,2.58,8.23,5.31,88.05
344,2.04,8.4,5.04,89.58
345,2.65,8.41,5.32,89.6
346,2.61,8.69,5.57,91.48
347,2.71,7.78,5.21,88.71
348,2.09,7.5,4.67,87.4
349,1.98,7.59,4.68,87.53
350,2.76,7.74,5.18,89.65
351,2.9,7.97,5.43,89.79
352,3.46,8.59,6.06,90.39
353,3.53,8.65,6.08,90.42
354,3.67,8.95,6.25,89.92
355,3.82,8.4,6.23,90.11
356,4.53,8.8,6.62,90.47
357,4.09,9.02,6.51,91.13
358,4.26,8.95,6.75,88.54
359,3.21,8.1,5.64,89.18
360,2.59,7.94,5.16,87.97
361,2.43,7.52,5.11,87.87
362,1.84,7.17,4.37,87.28
363,1.34,7.82,4.64,87.32
364,2.72,8.36,5.29,88.98
365,2.47,7.74,5.02,90.57
366,-0.88,4.96,1.82,91.15
